year,st,fage,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1978,1,a) 0,7856,7946,43668,21834,7946,200,X,X,43668,43668,X,200,200,X,X,X,X,X,43668,200,X,X,X,X
1978,1,b) 1,5476,5631,37519,37957,80,1.204,2103,31.66,12504,662,11842,1.744,32.943,13338,9454,3884,24.907,35.14,-834,-2.197,65.885,1702,1715,7945
1978,1,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,1,l) Left Censored,41348,51995,947057,928782,2241,4.183,5399,10.078,156428,25834,130594,2.781,16.842,120341,41369,78972,4.454,12.957,36087,3.885,25.914,3535,3598,19314
1978,2,a) 0,1462,1485,7590,3795,1485,200,X,X,7590,7590,X,200,200,X,X,X,X,X,7590,200,X,X,X,X
1978,2,b) 1,960,1008,6651,7392,17,1.397,434,35.676,2922,149,2773,2.016,39.529,4437,3427,1010,46.361,60.024,-1515,-20.495,79.058,338,340,2391
1978,2,c) 2,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,d) 3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,e) 4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,f) 5,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,g) 6 to 10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,h) 11 to 15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,i) 16 to 20,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,j) 21 to 25,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,k) 26+,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1978,2,l) Left Censored,4705,5945,93594,96942,418,6.795,832,13.524,24695,6523,18172,6.729,25.474,31178,13707,17471,14.139,32.162,-6483,-6.688,50.948,489,493,6484
1978,4,a) 0,7482,7582,45268,22634,7582,200,X,X,45268,45268,X,200,200,X,X,X,X,X,45268,200,X,X,X,X
1978,4,b) 1,4982,5128,37659,36470,83,1.373,1920,31.754,14491,1386,13105,3.8,39.735,12051,8185,3866,22.443,33.044,2440,6.691,66.088,1555,1575,6449
