year,naics_4,dherfindahl
2001,111339,-0.012157321
2002,111339,0.000619084
2003,111339,-0.017560422
2004,111339,-0.005454093
2005,111339,-0.006647408
2006,111339,0.001035243
2007,111339,0.006296635
2008,111339,0.02109319
2009,111339,-0.011885673
2010,111339,0.005714476
2011,111339,0.0074974
2012,111339,-0.045279086
2013,111339,0.16473481
2014,111339,0.49568528
2015,111339,0
2001,212313,1.19E-07
2002,212313,0
2003,212313,-1.19E-07
2004,212313,1.19E-07
2005,212313,0
2006,212313,0
2007,212313,0
2008,212313,0
2009,212313,0
2010,212313,-1.19E-07
2011,212313,1.19E-07
2012,212313,0
2013,212313,0
2014,212313,0
2015,212313,-1.19E-07
2001,221118,0
2002,221118,-1.19E-07
2003,221118,1.19E-07
2004,221118,0
2005,221118,0
2006,221118,0
2007,221118,0
2008,221118,0
2009,221118,0
2010,221118,0
2011,221118,0
2012,221118,0
2013,221118,-1.19E-07
2014,221118,1.19E-07
2015,221118,-0.00981009
2001,236210,0
2002,236210,0
2003,236210,0
2004,236210,0
2005,236210,0
2006,236210,0
2007,236210,0
2008,236210,0
2009,236210,0
2010,236210,0
2011,236210,0
2012,236210,-1.19E-07
2013,236210,0
2014,236210,1.19E-07
2015,236210,0
2001,237120,0.1166649
2002,237120,0.08913821
2003,237120,-0.003585756
2004,237120,0.020967811
2005,237120,-0.08728832
2006,237120,0.013939321
2007,237120,0.027407318
2008,237120,-0.090258658
2009,237120,0.039995879
2010,237120,-0.059453338
2011,237120,-0.022344843
2012,237120,0.050960258
2013,237120,-0.055773869
2014,237120,0.038986161
2015,237120,0.17852741
2001,237310,-0.038428575
2002,237310,-0.018394649
2003,237310,-0.014561027
2004,237310,-0.008683145
2005,237310,0.005917311
2006,237310,0.019517988
2007,237310,0.04965049
2008,237310,0.001420736
2009,237310,-0.011635274
2010,237310,0.011725724
2011,237310,-0.00623256
2012,237310,-0.014778644
2013,237310,0.009353697
2014,237310,-0.025318563
2015,237310,0.012598485
2001,237990,0.011048257
2002,237990,0.040766329
2003,237990,0.001554817
2004,237990,-0.039824009
2005,237990,-0.10788563
2006,237990,0.10924265
2007,237990,-0.0299896
2008,237990,-0.021035284
2009,237990,0.002911478
2010,237990,0.042015165
2011,237990,-0.016150177
2012,237990,-0.012373894
2013,237990,-0.029161483
2014,237990,-0.009938836
2015,237990,-0.00753811
2001,238210,-0.009235561
2002,238210,0.035728872
2003,238210,0.08037433
2004,238210,-0.046189815
2005,238210,-0.023833483
2006,238210,0.003094763
2007,238210,0.023838222
2008,238210,0.032301933
2009,238210,-0.017208278
2010,238210,0.006555915
2011,238210,-0.000550151
2012,238210,0.008559585
2013,238210,-0.009651989
2014,238210,0.014931053
2015,238210,0.038960457
2001,238220,-0.090358377
2002,238220,-0.093312681
2003,238220,0.013698399
2004,238220,0.17653728
2005,238220,0
2006,238220,0
2007,238220,-1.19E-07
2008,238220,1.19E-07
2009,238220,0
2010,238220,0
2011,238220,0
2012,238220,-0.014751434
2013,238220,0.014751315
2014,238220,1.19E-07
2015,238220,0
2001,311221,-0.035671711
2002,311221,-0.007703662
2003,311221,0.001630902
2004,311221,0.002749205
2005,311221,-0.00312227
2006,311221,0.005136311
2007,311221,0.015973806
2008,311221,-0.006199718
2009,311221,0.019400775
2010,311221,-0.012519419
2011,311221,0.014335752
2012,311221,0.007891357
2013,311221,-0.006505609
2014,311221,0.006770492
2015,311221,0.14195305
2001,311313,0.027323246
2002,311313,0.003859401
2003,311313,0.006832361
2004,311313,-0.13456351
2005,311313,-0.016268492
2006,311313,-0.022165656
2007,311313,0.04564625
2008,311313,0.00996387
2009,311313,-0.031892538
2010,311313,-0.016622722
2011,311313,0.038765132
2012,311313,-0.008842588
2013,311313,0.03254652
2014,311313,0.38317752
2015,311313,0
2001,311511,0.45318273
2002,311511,0.009092391
2003,311511,0.039345622
2004,311511,0.000222564
2005,311511,-0.000811338
2006,311511,-0.001641989
2007,311511,-0.001049399
2008,311511,-0.000579596
2009,311511,-0.003219962
2010,311511,0.000750542
2011,311511,-0.23356104
2012,311511,-0.048737466
2013,311511,-0.062143445
2014,311511,-0.047076344
2015,311511,-0.046800911
2001,311613,0
2002,311613,0
2003,311613,0
2004,311613,-1.19E-07
2005,311613,1.19E-07
2006,311613,0
2007,311613,0
2008,311613,0
2009,311613,0
2010,311613,0
2011,311613,0
2012,311613,0
2013,311613,0
2014,311613,0
2015,311613,0
2001,311911,0
2002,311911,0
2003,311911,0
2004,311911,-1.19E-07
2005,311911,1.19E-07
2006,311911,0
2007,311911,-0.22867143
2008,311911,-0.086911798
2009,311911,-0.015034199
2010,311911,-0.041245818
2011,311911,0.006784678
2012,311911,-0.014777422
2013,311911,0.029238939
2014,311911,0.009226441
2015,311911,0.027091384
2001,311942,0.006969214
2002,311942,-0.000278711
2003,311942,-0.00342238
2004,311942,-0.009682179
2005,311942,0.028504133
2006,311942,0
2007,311942,0
2008,311942,0
2009,311942,0
2010,311942,0
2011,311942,0
2012,311942,0
2013,311942,0
2014,311942,0
2015,311942,-1.19E-07
2001,313110,0
2002,313110,0
2003,313110,0
2004,313110,0
2005,313110,0
2006,313110,0
2007,313110,0
2008,313110,0
2009,313110,-1.19E-07
2010,313110,1.19E-07
2011,313110,0
2012,313110,0
2013,313110,0
2014,313110,0
2015,313110,0
2001,313210,0.006045967
2002,313210,-0.013318755
2003,313210,0.029505245
2004,313210,0.068713844
2005,313210,0.027556568
2006,313210,0.023451313
2007,313210,0.080029279
2008,313210,-0.000641644
2009,313210,-0.031161815
2010,313210,0.004621983
2011,313210,-0.009973526
2012,313210,-0.006513715
2013,313210,-0.003771156
2014,313210,0.033297658
2015,313210,-0.00325504
2001,314110,0.035673648
2002,314110,0.090748668
2003,314110,0.075212657
2004,314110,0.02877146
2005,314110,0.002735436
2006,314110,0.020284534
2007,314110,-0.007185042
2008,314110,-0.014964998
2009,314110,0.001511335
2010,314110,-0.024431884
2011,314110,-0.010295033
2012,314110,0.025693238
2013,314110,0.029416144
2014,314110,-0.003936708
2015,314110,0.004529834
2001,315220,-0.002641469
2002,315220,-0.015344471
2003,315220,-0.007850111
2004,315220,0.001353264
2005,315220,-0.004744977
2006,315220,-0.002142727
2007,315220,0.012133867
2008,315220,0.024459302
2009,315220,-0.001485467
2010,315220,-0.001114994
2011,315220,0.011591733
2012,315220,0.018346727
