year,naics_4,dmarkup
2001,111339,0.011806071
2002,111339,0.010951996
2003,111339,-0.018639982
2004,111339,-0.025249958
2005,111339,-0.009340882
2006,111339,-0.031656563
2007,111339,0.004789174
2008,111339,0.005047619
2009,111339,0.012387991
2010,111339,-0.017420828
2011,111339,0.004485548
2012,111339,-0.004397035
2013,111339,-0.0031358
2014,111339,0.001562417
2015,111339,-0.009805024
2001,212313,-0.03929925
2002,212313,-0.02223742
2003,212313,0.005005598
2004,212313,0.02308023
2005,212313,0.020459294
2006,212313,0.039277792
2007,212313,0.050322413
2008,212313,-0.048873425
2009,212313,-0.001889825
2010,212313,-0.038741589
2011,212313,-0.009549618
2012,212313,-0.049201965
2013,212313,0.004937291
2014,212313,0.015078664
2015,212313,0.042073846
2001,221118,0.044515252
2002,221118,0.003992319
2003,221118,0.004466534
2004,221118,0.073915362
2005,221118,-0.017581224
2006,221118,-0.020628214
2007,221118,0.042299986
2008,221118,0.025477886
2009,221118,0.041085124
2010,221118,0.029487014
2011,221118,-0.087719321
2012,221118,0.005509853
2013,221118,-0.056590676
2014,221118,-0.038914919
2015,221118,-0.031283498
2001,236210,-0.000713944
2002,236210,-0.00047493
2003,236210,0.009897471
2004,236210,0.011772752
2005,236210,0.001215577
2006,236210,-0.021981478
2007,236210,0.024122477
2008,236210,0.018431902
2009,236210,-0.022949696
2010,236210,0.008921385
2011,236210,0.011392236
2012,236210,0.012272477
2013,236210,-0.004044533
2014,236210,0.015813708
2015,236210,-0.000553489
2001,237120,-0.030623913
2002,237120,-0.00771296
2003,237120,-0.005027056
2004,237120,-0.014283776
2005,237120,0.012451172
2006,237120,0.018600583
2007,237120,-0.053891182
2008,237120,0.03039825
2009,237120,0.046220899
2010,237120,0.025086284
2011,237120,0.010682106
2012,237120,-0.03297472
2013,237120,-0.045712233
2014,237120,-0.021449208
2015,237120,0.020723939
2001,237310,0.008600831
2002,237310,0.02265048
2003,237310,-0.006399274
2004,237310,0.000960231
2005,237310,0.023307443
2006,237310,-0.017405152
2007,237310,0.002806902
2008,237310,0.025703311
2009,237310,-0.013767838
2010,237310,-0.074425936
2011,237310,0.024135232
2012,237310,0.00062108
2013,237310,-0.035326719
2014,237310,0.027631044
2015,237310,0.010755301
2001,237990,0.033789635
2002,237990,-0.037014484
2003,237990,-0.04018712
2004,237990,-0.019727468
2005,237990,-0.008622766
2006,237990,0.01276505
2007,237990,0.013967872
2008,237990,-0.027506709
2009,237990,0.009469986
2010,237990,0.015908599
2011,237990,-0.045220375
2012,237990,-0.047971606
2013,237990,0.060201168
2014,237990,-0.003723979
2015,237990,-0.028272629
2001,238210,0.001371622
2002,238210,-0.037661195
2003,238210,-0.014268279
2004,238210,-0.014934182
2005,238210,0.015452027
2006,238210,0.016635418
2007,238210,0.011551142
2008,238210,0.019321799
2009,238210,0.022207141
2010,238210,-0.022301435
2011,238210,-0.017749548
2012,238210,0.013186574
2013,238210,0.006091476
2014,238210,0.006943703
2015,238210,-0.024960399
2001,238220,-0.006041408
2002,238220,-0.014764786
2003,238220,-0.019281268
2004,238220,0.004746556
2005,238220,0.004261375
2006,238220,-0.000945926
2007,238220,0.024664402
2008,238220,0.035326242
2009,238220,0.006534457
2010,238220,-0.038637519
2011,238220,-0.031686306
2012,238220,0.015168667
2013,238220,0.025339723
2014,238220,0.003010988
2015,238220,0.037611246
2001,311221,0.048294306
2002,311221,-0.056708813
2003,311221,0.018431306
2004,311221,-0.01164484
2005,311221,-0.017440081
2006,311221,0.022817254
2007,311221,-0.006784797
2008,311221,-0.009113669
2009,311221,-0.053977132
2010,311221,0.030860305
2011,311221,-0.001553416
2012,311221,0.004840612
2013,311221,-0.016435981
2014,311221,0.041567326
2015,311221,0.053075433
2001,311313,-0.06812942
2002,311313,0.020274639
2003,311313,-0.008253098
2004,311313,-0.02424264
